BJD - 2454833, Corrected Flux
2579.765574989, 0.999764108,
2579.786006769, 0.999832649,
2579.806438450, 0.999755159,
2579.826870130, 0.999723684,
2579.867733490, 0.999804250,
2579.888165169, 0.999794210,
2579.908596849, 0.999783449,
2579.929028527, 0.999776669,
2579.949460206, 0.999813455,
2579.969891984, 0.999847910,
2579.990323562, 0.999771461,
2580.010755339, 0.999762960,
2580.031187017, 0.999821887,
2580.051618594, 0.999788394,
2580.072050371, 0.999773535,
2580.092482047, 0.999808409,
2580.112913623, 0.999777952,
2580.133345399, 0.999885257,
2580.153777074, 0.999767070,
2580.174208649, 0.999759958,
2580.194640424, 0.999803903,
2580.215072099, 0.999804197,
2580.235503673, 0.999741090,
2580.255935447, 0.999891640,
2580.276367121, 0.999874888,
2580.296798795, 0.999823679,
2580.317230468, 0.999877986,
2580.358093713, 0.999860228,
2580.378525486, 0.999753181,
2580.398957157, 0.999799112,
2580.419388729, 0.999812717,
2580.439820501, 0.999813396,
2580.460252172, 0.999841669,
2580.480683743, 0.999856951,
2580.501115513, 0.999821846,
2580.521547183, 0.999858604,
2580.541978754, 0.999615301,
2580.562410523, 0.999504640,
2580.603273762, 0.999717218,
2580.623705530, 0.999830199,
2580.644137199, 0.999789713,
2580.664568867, 0.999773255,
2580.685000535, 0.999786033,
2580.705432203, 0.999727497,
2580.725863970, 0.999780417,
2580.746295537, 0.999775519,
2580.766727204, 0.999773353,
2580.787158970, 0.999805071,
2580.807590637, 0.999745087,
2580.828022203, 0.999807103,
2580.848453968, 0.999823523,
2580.868885633, 0.999732587,
2580.889317199, 0.999803312,
2580.909748963, 0.999746853,
2580.930180628, 0.999896745,
2580.950612192, 0.999811159,
2580.971043956, 0.999751226,
2580.991475620, 0.999823289,
2581.011907183, 0.999850167,
2581.032338946, 0.999710303,
2581.052770609, 0.999853720,
2581.093633933, 0.999846424,
